type,shares,price,low prediction,prediction,high prediction
buy,1,149.27000427246094,[153.17708245],[153.17708245],[153.17708245]
sell,1,150.6699981689453,[148.88941082],[148.88941082],[148.88941082]
buy,1,151.55999755859375,[160.69584357],[160.69584357],[160.69584357]
buy,1,149.50999450683594,[159.93335176],[159.93335176],[159.93335176]
buy,1,145.6199951171875,[148.31198581],[148.31198581],[148.31198581]
sell,3,149.0,[141.1339425],[141.1339425],[141.1339425]
buy,1,153.72000122070312,[160.60500945],[160.60500945],[160.60500945]
buy,1,153.92999267578125,[165.89796707],[165.89796707],[165.89796707]
sell,2,155.91000366210938,[148.7064475],[148.7064475],[148.7064475]
buy,1,153.5,[156.60766244],[156.60766244],[156.60766244]
sell,1,155.00999450683594,[154.95107695],[154.95107695],[154.95107695]
buy,1,149.1699981689453,[154.94464447],[154.94464447],[154.94464447]
buy,1,148.0,[153.50389314],[153.50389314],[153.50389314]
buy,1,150.22000122070312,[158.34392612],[158.34392612],[158.34392612]
buy,1,154.30999755859375,[155.06995238],[155.06995238],[155.06995238]
sell,4,153.58999633789062,[151.61539123],[151.61539123],[151.61539123]
buy,1,155.6199951171875,[156.04804278],[156.04804278],[156.04804278]
sell,1,156.99000549316406,[148.79578216],[148.79578216],[148.79578216]
buy,1,156.3699951171875,[177.44695069],[177.44695069],[177.44695069]
sell,1,157.92999267578125,[157.6354747],[157.6354747],[157.6354747]
buy,1,155.22000122070312,[163.53931273],[163.53931273],[163.53931273]
sell,1,155.6199951171875,[151.33616865],[151.33616865],[151.33616865]
buy,1,152.07000732421875,[152.23614434],[152.23614434],[152.23614434]
buy,1,152.67999267578125,[152.68882127],[152.68882127],[152.68882127]
buy,1,152.00999450683594,[154.53432004],[154.53432004],[154.53432004]
sell,3,151.2899932861328,[149.36685845],[149.36685845],[149.36685845]
buy,1,146.0,[154.35583436],[154.35583436],[154.35583436]
sell,1,145.00999450683594,[122.34186061],[122.34186061],[122.34186061]
buy,1,147.1999969482422,[152.97673092],[152.97673092],[152.97673092]
sell,1,146.0500030517578,[138.76723891],[138.76723891],[138.76723891]
buy,1,140.5399932861328,[147.05596915],[147.05596915],[147.05596915]
buy,1,142.17999267578125,[143.38918318],[143.38918318],[143.38918318]
sell,2,141.72000122070312,[137.63855765],[137.63855765],[137.63855765]
buy,1,138.74000549316406,[149.37643185],[149.37643185],[149.37643185]
buy,1,135.08999633789062,[157.95351736],[157.95351736],[157.95351736]
buy,1,135.88999938964844,[140.48134494],[140.48134494],[140.48134494]
sell,3,132.1199951171875,[128.9695679],[128.9695679],[128.9695679]
buy,1,135.7100067138672,[135.8355679],[135.8355679],[135.8355679]
sell,1,140.99000549316406,[134.17274658],[134.17274658],[134.17274658]
buy,1,141.88999938964844,[142.01219302],[142.01219302],[142.01219302]
sell,1,147.27999877929688,[137.91863651],[137.91863651],[137.91863651]
buy,1,155.0500030517578,[205.49112673],[205.49112673],[205.49112673]
buy,1,155.07000732421875,[165.63331656],[165.63331656],[165.63331656]
sell,2,157.7899932861328,[156.32040805],[156.32040805],[156.32040805]
buy,1,157.47000122070312,[159.04785975],[159.04785975],[159.04785975]
sell,1,157.8300018310547,[154.01239634],[154.01239634],[154.01239634]
buy,1,155.07000732421875,[155.49312634],[155.49312634],[155.49312634]
sell,1,153.1199951171875,[145.38998923],[145.38998923],[145.38998923]
buy,1,146.24000549316406,[151.39784428],[151.39784428],[151.39784428]
buy,1,143.66000366210938,[146.48497809],[146.48497809],[146.48497809]
sell,2,141.36000061035156,[140.45037128],[140.45037128],[140.45037128]
buy,1,140.77999877929688,[142.28498082],[142.28498082],[142.28498082]
sell,1,138.77999877929688,[138.40153806],[138.40153806],[138.40153806]
buy,1,134.72000122070312,[137.76331955],[137.76331955],[137.76331955]
buy,1,136.42999267578125,[136.70068167],[136.70068167],[136.70068167]
buy,1,136.32000732421875,[137.81219204],[137.81219204],[137.81219204]
buy,1,134.22000122070312,[143.21820249],[143.21820249],[143.21820249]
sell,4,134.05999755859375,[127.76620303],[127.76620303],[127.76620303]
buy,1,131.6300048828125,[137.24123926],[137.24123926],[137.24123926]
sell,1,127.7699966430664,[111.79018998],[111.79018998],[111.79018998]
buy,1,126.04000091552734,[131.91596853],[131.91596853],[131.91596853]
sell,1,125.8499984741211,[124.44546927],[124.44546927],[124.44546927]
